text,hypothesis,majority_label
people live,people who,other-related
lady,top,independent
monday .,"sunday ,",alternation
africa,state,other-related
large,standing,independent
organization,islamic,entailment
chair,is,independent
elect,election,other-related
continuous,stay,other-related
receive the,was awarded,entailment
bottom,stand,independent
appear,is,independent
bike,motorcyclist,other-related
cage,shelf,independent
large,very,independent
try,was,independent
people,resource,independent
leash,water,independent
to halt,to stop,equivalence
the world,trade,independent
south,state,entailment
pose a threat,threat to,equivalence
police,a police spokesman,entailment
the phone,the telephone,equivalence
type,research,entailment
take part in,compete in,entailment
border,smuggling,other-related
big,not,independent
water,fountain,entailment
go,wear,independent
revenue,survey,independent
hurl,throw,equivalence
european,terrorism,independent
ball,playing,other-related
look,look at,equivalence
football,footballer,other-related
old person,elderly man,entailment
two adult,adult,entailment
motorbike,motorcycle,equivalence
tension between,tension between the,equivalence
c,laws,independent
kill,people,independent
citizen,member,other-related
national,central,entailment
little boy,young girl,alternation
the death,"death penalty ,",entailment
is,time,independent
person 's,a person who,entailment
the daughter,his daughter,entailment
single currency,european currency,entailment
first,step,independent
people dead,were killed,entailment
cut,low,independent
athens,game,independent
man 's,man is,equivalence
be,strike,independent
conserve,protect,other-related
declaration,independence,other-related
commission,control,independent
force,troop,entailment
today,the time,entailment
become,release,independent
piece,write,independent
council,nuclear,independent
oil output,to oil,other-related
shirt,side,independent
include the,is a,independent
sign,sit,independent
official,u.s.,other-related
front of,off the,independent
being,pursue,independent
dog 's,dog is,entailment
direction,front,entailment
effort,government,independent
free,other,independent
mexico,the gulf,other-related
bowl,have,independent
piano,the violin,other-related
girl,blond,entailment
country,european,entailment
the child,a little boy,entailment
people,man,entailment
human,june,independent
military,other,independent
and are,are making,independent
draft,offer,other-related
head,hold,independent
in the southern,southern city of,entailment
high,more,other-related
condemn,thursday,independent
jerusalem,the west bank,entailment
presidency,president,other-related
devastate,massive,independent
approve by,to ratify,other-related
child,kitten,independent
begin,create,independent
aceh,aceh province,entailment
end,javier,independent
gun,shoot,other-related
poke,put,independent
the rebel,insurgent,entailment
in china,that china 's,other-related
type,write,alternation
bush,president bush 's,independent
street,walk,other-related
business,current,independent
the government,government of canada,entailment
live with,with hiv,independent
yellow,golden,entailment
human,past,independent
bush,monday,independent
beat,throw,independent
two kid,child,entailment
people,minister,entailment
push,support,independent
it is,girl is,entailment
tehran,tehran 's,equivalence
provide,run,independent
property,result,independent
food,tuesday,independent
good,trade,independent
kill in,people were,independent
growth,market,other-related
tourist,vacationer,equivalence
company,computer,independent
israel,radio,independent
command,operations,other-related
acts,artist,independent
are in,is located,other-related
member,military,independent
central,spinal,other-related
being held,make,independent
glasses,sunglasses,entailment
israeli army,the israeli,other-related
german chancellor,schroeder,entailment
are having,are talking,independent
standing,wait,other-related
china,oil,independent
daughter,live,independent
come,part,independent
man,think,independent
far,thus,independent
a cluster,a group,equivalence
gaza,have,independent
the president,bush 's,entailment
have,step,independent
alcohol,use,independent
out,part,independent
deal,industry,independent
base,military,other-related
chirac,paris,other-related
advance,date,independent
first,member,independent
draw,gun,other-related
influenza,many,independent
long-range,ocean,other-related
language,national language,entailment
new,programme,independent
's widow,widow of,equivalence
organization,victim,independent
shorten,cut,entailment
the same,the vicinity,other-related
brown,christmas,independent
rate,were,independent
european,finland,entailment
iraq,thursday,independent
last,remain,independent
say,to be,independent
a boy,little,independent
the european,the european union,entailment
day,shoot,independent
party,the most,independent
rate,sector,independent
is,talking,other-related
gay,hiv,other-related
court,the case,other-related
offer,product,independent
unite,unite nation,entailment
evidence,make,independent
corporation,inc.,other-related
place in,took place in,entailment
beat,suffer,other-related
a decade,place,independent
and health,health care,entailment
city,mainland,independent
baby,play,independent
end,stock,independent
woman,female candidate,entailment
police station,"station ,",entailment
is the,the second,other-related
table,together,independent
