truth,hypothesis,majority_label
past,saddam,independent
evidence,probe,independent
kim,say,independent
drug,substance,hyponym
council,monetary,other-related
locate,settle,independent
in december,in january,alternation
rush to,take to,hyponym
been killed,toll of,other-related
end,technology,independent
somebody 's,there is,independent
drink,horse,independent
pollution,priority,independent
egg,someone,independent
death of,kill by,synonym
office,office of the,hypernym
done,now,alternation
decide,have agree,other-related
drug,study,hyponym
a member,party,hyponym
effective,population,independent
million people,"people ,",hyponym
gain,stocks,other-related
run,walk,antonym
rock,stone,synonym
auditor,management,other-related
's widow,"widow ,",hyponym
foreign minister,minister in,hyponym
the case,the man,independent
steps,weapon,independent
bang,side,independent
racer,runner,synonym
got,has been,independent
march,the month,hyponym
appear,raise,independent
break,crack,synonym
embassy,u.s.,independent
coat,table,independent
u.s. secretary,us secretary,synonym
board of director,director,hypernym
plan,propose,other-related
el salvador,guatemala,alternation
being,large,independent
blair,london,hyponym
is preparing,prepare by,other-related
energy,project,independent
aircraft,mobile phone,independent
ice,water,other-related
hamas,israeli,independent
part in,participation in,independent
artist,paint,other-related
deputy,president,independent
broker,business,other-related
atlantic,the company,hyponym
were,wound,independent
costs,price,synonym
now,was,independent
being,writing,independent
people live,people who,other-related
lady,top,independent
monday .,"sunday ,",alternation
africa,state,other-related
large,standing,independent
islamic,organization,hyponym
chair,is,independent
elect,election,other-related
continuous,stay,other-related
receive the,was awarded,hypernym
bottom,stand,independent
appear,is,independent
bike,motorcyclist,other-related
cage,shelf,independent
large,very,independent
try,was,independent
people,resource,independent
leash,water,independent
to halt,to stop,synonym
the world,trade,independent
south,state,hypernym
pose a threat,threat to,synonym
a police spokesman,police,hyponym
the phone,the telephone,synonym
research,type,hyponym
compete in,take part in,hyponym
border,smuggling,other-related
big,not,independent
fountain,water,hyponym
go,wear,independent
revenue,survey,independent
hurl,throw,synonym
european,terrorism,independent
ball,playing,other-related
look,look at,synonym
football,footballer,other-related
elderly man,old person,hyponym
adult,two adult,hyponym
motorbike,motorcycle,synonym
tension between,tension between the,synonym
c,laws,independent
kill,people,independent
citizen,member,other-related
central,national,hyponym
little boy,young girl,alternation
"death penalty ,",the death,hyponym
is,time,independent
a person who,person 's,hyponym
his daughter,the daughter,hyponym
european currency,single currency,hyponym
first,step,independent
people dead,were killed,hypernym
cut,low,independent
athens,game,independent
man 's,man is,synonym
be,strike,independent
conserve,protect,other-related
declaration,independence,other-related
commission,control,independent
force,troop,hypernym
the time,today,hyponym
become,release,independent
piece,write,independent
council,nuclear,independent
oil output,to oil,other-related
shirt,side,independent
include the,is a,independent
sign,sit,independent
official,u.s.,other-related
front of,off the,independent
being,pursue,independent
dog 's,dog is,hypernym
direction,front,hypernym
effort,government,independent
free,other,independent
mexico,the gulf,other-related
bowl,have,independent
piano,the violin,other-related
blond,girl,hyponym
country,european,hypernym
a little boy,the child,hyponym
man,people,hyponym
human,june,independent
military,other,independent
and are,are making,independent
draft,offer,other-related
head,hold,independent
in the southern,southern city of,hypernym
high,more,other-related
condemn,thursday,independent
jerusalem,the west bank,hypernym
presidency,president,other-related
devastate,massive,independent
approve by,to ratify,other-related
child,kitten,independent
begin,create,independent
aceh,aceh province,hypernym
end,javier,independent
gun,shoot,other-related
poke,put,independent
insurgent,the rebel,hyponym
in china,that china 's,other-related
type,write,alternation
bush,president bush 's,independent
street,walk,other-related
business,current,independent
government of canada,the government,hyponym
live with,with hiv,independent
golden,yellow,hyponym
human,past,independent
bush,monday,independent
beat,throw,independent
child,two kid,hyponym
minister,people,hyponym
push,support,independent
girl is,it is,hyponym
tehran,tehran 's,synonym
provide,run,independent
property,result,independent
food,tuesday,independent
good,trade,independent
kill in,people were,independent
growth,market,other-related
tourist,vacationer,synonym
company,computer,independent
israel,radio,independent
command,operations,other-related
acts,artist,independent
are in,is located,other-related
member,military,independent
central,spinal,other-related
being held,make,independent
glasses,sunglasses,hypernym
israeli army,the israeli,other-related
german chancellor,schroeder,hypernym
are having,are talking,independent
standing,wait,other-related
china,oil,independent
daughter,live,independent
come,part,independent
man,think,independent
far,thus,independent
a cluster,a group,synonym
gaza,have,independent
bush 's,the president,hyponym
have,step,independent
alcohol,use,independent
out,part,independent
deal,industry,independent
base,military,other-related
chirac,paris,other-related
advance,date,independent
first,member,independent
draw,gun,other-related
influenza,many,independent
long-range,ocean,other-related
language,national language,hypernym
new,programme,independent
's widow,widow of,synonym
organization,victim,independent
cut,shorten,hyponym
the same,the vicinity,other-related
brown,christmas,independent
rate,were,independent
european,finland,hypernym
iraq,thursday,independent
last,remain,independent
say,to be,independent
a boy,little,independent
the european,the european union,hypernym
day,shoot,independent
party,the most,independent
rate,sector,independent
is,talking,other-related
gay,hiv,other-related
court,the case,other-related
offer,product,independent
unite,unite nation,hypernym
evidence,make,independent
corporation,inc.,other-related
place in,took place in,hypernym
beat,suffer,other-related
a decade,place,independent
and health,health care,hypernym
city,mainland,independent
baby,play,independent
end,stock,independent
female candidate,woman,hyponym
police station,"station ,",hypernym
is the,the second,other-related
table,together,independent
a senior,accord to,independent
event,organization,other-related
art,original,independent
fish,the fishing,other-related
front,group,independent
environment,stand,independent
almost,only,independent
car,the road,other-related
cat,person,independent
election,ukraine,independent
office,officer,alternation
person is,there is,independent
